,Country,Industry,Business Area,Legal Entity Name,Financial Year,Is Current Quarter?,Quarter,Planned Sales Revenue,Sales Revenue,Sales Revenue (Forecasted),Planned Service Revenue,Service Revenue,Service Revenue  (Forecasted),Planned Non Service Revenue,Non Service Revenue,Non Service Revenue (Forecasted),Planned Total Revenue,Total Revenue,Total Revenue (Forecasted),Planned COGS,COGS,COGS (Forecasted),Planned Administrative Expenses,Administrative Expenses,Administrative Expenses (Forecasted),Planned Third Party Expenses,Third Party Expenses,Third Party Expenses (Forecasted),Planned Other Expenses,Other Expenses,Other Expenses (Forecasted),Planned Total Expense,Total Expense,Total Expense (Forecasted),Planned Gross Margin,Gross Margin,Gross Margin (Forecasted),Planned Gross Margin %,Gross Margin %,Gross Margin % (Forecasted),Planned R&D Expenses,R&D Expenses,R&D Expenses (Forecasted),Planned Sales Cost,Sales Cost,Sales Cost (Forecasted),Planned Other Operating Expenses,Other Operating Expenses,Other Operating Expenses (Forecasted),Planned Operating Margin,Operating Margin,Operating Margin (Forecasted),Planned Operating Margin %,Operating Margin %,Operating Margin % (Forecasted),Planned Depreciation,Depreciation,Depreciation (Forecasted),Planned Interest,Interest,Interest (Forecasted),Planned Tax,Tax,Tax (Forecasted),Planned Net Margin,Net Margin,Net Margin (Forecasted),Planned Net Margin %,Net Margin %,Net Margin % (Forecasted),Planned Adjustment to Income,Adjustment to Income,Adjustment to Income (Forecasted),Planned Inventory,Inventory,Inventory (Forecasted),Planned Cash Flow from Operating Activities,Cash Flow from Operating Activities,Cash Flow from Operating Activities (Forecasted),Planned Capex,Capex,Capex - Forecasted,Planned Investments,Investments,Investments - Forecasted,Planned Cash Flow from Investment Activities,Cash Flow from Investment Activities,Cash Flow from Investment Activities (Forecasted),Dividends Paid,Sale/ Repurchase of Shares,Increase in Debt,Exchange Rate Gain/ Loss,Planned Cash Flow from Financial Activities,Cash Flow from Financial Activities,Cash Flow from Financial Activities Forecasted,Planned Net Cash Flow,Net Cash Flow,Net Cash Flow Forecasted,Planned Cash In Hand,Cash In Hand,Cash In Hand Forecasted,Planned Net Assets,Net Assets,Net Assets Forecasted,Planned Other Trade Debts,Other Trade Debts,Other Trade Debts Forecasted,Planned Net Liabiities,Net Liabiities,Net Liabiities Forecasted,Planned Net Working Capital,Net Working Capital,Net Working Capital Forecasted
27,India,Metals,Mining,India Mining Ltd,FY2018,N,Q4,29366732,26499348,29366732,,,,29472559,25226852,29472559,58839291,51726200,58839291,9761626,6922953,9761626,5504936,6157573,5504936,6641694,9241277,6641694,15755709,15746008,15755709,37663965,38067811,37663965,21175326,13658389,21175326,36%,26%,36%,2262120,1628391,2262120,12272285,10997406,12272285,3522693,3033847,3522693,3118228,-2001255,3118228,5%,-4%,5%,1262509,1125609,1262509,7678825,6536909,7678825,623646,0,623646,-3921734,-7412555,-3921734,-7%,-14%,-7%,232627,361661,232627,8009175,7581209,8009175,12622539,7067224,12622539,-2580570,-1548202,-2580570,-8656351,-7402560,-8656351,-11236921,-8950762,-11236921,,,,,2909693,8128567,2909693,4295311,6245029,4295311,1290789,2274937,1290789,68139255,61582346,68139255,1994463,3421450,1994463,57715526,57148905,57715526,10423729,4433441,10423729
28,India,Metals,Mining,India Mining Ltd,FY2019,N,Q1,28411901,26922221,28411901,,,,25581151,29572291,25581151,53993052,56494512,53993052,6689798,6595493,6689798,9613989,9560071,9613989,9011387,6172764,9011387,13035829,19062819,13035829,38351003,41391147,38351003,15642049,15103365,15642049,29%,27%,29%,1365293,1827950,1365293,13932017,13055783,13932017,4812755,4419227,4812755,-4468016,-4199595,-4468016,-8%,-7%,-8%,1477856,1957457,1477856,5611319,7602053,5611319,0,0,0,-8601479,-9844191,-8601479,-16%,-17%,-16%,107953,64984,107953,7601627,8497305,7601627,4719420,6320151,4719420,-8151463,-2580101,-8151463,-7877540,-8534805,-7877540,-16029003,-11114906,-16029003,,,,,9366845,6225238,9366845,-1942738,1430483,-1942738,1394236,1481809,1394236,62988915,66473626,62988915,1980319,2509708,1980319,60441387,63203815,60441387,2547528,3269811,2547528
29,India,Metals,Mining,India Mining Ltd,FY2019,N,Q2,29533431,27176023,29533431,,,,27214675,25647476,27214675,56748106,52823499,56748106,8536045,7658855,8536045,5417443,9929037,5417443,9128374,8104237,9128374,24054007,16378643,24054007,47135869,42070772,47135869,9612237,10752727,9612237,17%,20%,17%,2095337,2653153,2095337,13472523,14827185,13472523,4378324,1032598,4378324,-10333947,-7760209,-10333947,-18%,-15%,-18%,2634231,2836816,2634231,7078357,7280893,7078357,0,0,0,-14778073,-12204286,-14778073,-26%,-23%,-26%,90586,494371,90586,8681030,6811474,8681030,1071900,2382452,1071900,-6739825,-8372677,-6739825,-4252417,-1205738,-4252417,-10992242,-9578415,-10992242,,,,,4133635,7590323,4133635,-5786707,394360,-5786707,3103926,1931931,3103926,68533062,61566904,68533062,2796581,3471553,2796581,69878634,64055261,69878634,-1345572,-2488357,-1345572
30,India,Metals,Mining,India Mining Ltd,FY2019,Y,Q3,27491471,28270695,27491471,,,,27573506,28186320,27573506,55064977,56457015,55064977,9138088,5955760,9138088,9891199,9084037,9891199,8513100,6985438,8513100,26647175,26699880,26647175,54189562,48725115,54189562,875415,7731900,875415,2%,14%,2%,1695124,1569383,1695124,11530417,11021822,11530417,3670696,3779275,3670696,-16020822,-8638580,-16020822,-29%,-15%,-29%,1780496,1078681,1780496,7098603,5710065,7098603,0,0,0,-21338929,-13269964,-21338929,-39%,-24%,-39%,488534,474231,488534,6487479,7753321,6487479,-7264313,667653,-7264313,-8277932,-1635603,-8277932,-2800061,-4771782,-2800061,-11077993,-6407385,-11077993,,,,,5235743,3204472,5235743,-13106563,-2535260,-13106563,2438631,3654915,2438631,63991087,67865251,63991087,2908562,2208566,2908562,73994361,67304161,73994361,-10003274,561090,-10003274
31,India,Metals,Mining,India Mining Ltd,FY2019,N,Q4,29067224,,29067224,,,,26800558,,26800558,55867782,0,55867782,5479657,,5479657,5685214,,5685214,8629280,,8629280,22213378,,22213378,42007529,0,42007529,13860253,0,13860253,25%,,25%,2259566,,2259566,12185633,,12185633,4282968,,4282968,-4867914,0,-4867914,-9%,,-9%,1117931,,1117931,6313387,,6313387,0,0,0,-10063370,0,-10063370,-18%,,-18%,76077,,76077,5091173,,5091173,1417267,0,1417267,-7336609,,-7336609,-2325882,,-2325882,-9662491,0,-9662491,,,,,5578745,,5578745,-2666479,0,-2666479,3326217,,3326217,64285172,0,64285172,1738053,,1738053,62473749,0,62473749,1811423,0,1811423
32,Bangladesh,Cement,Cement,Bangladesh Cement Ltd,FY2018,N,Q1,25436754,29391431,25436754,,,,29849406,26196100,29849406,55286160,55587531,55286160,5713625,6019185,5713625,3378667,1966087,3378667,7372277,5839747,7372277,1972055,2861433,1972055,18436624,16686452,18436624,36849536,38901079,36849536,67%,70%,67%,,,0,10056211,12665706,10056211,2603316,3911622,2603316,24190009,22323751,24190009,44%,40%,44%,1526180,1894913,1526180,5192835,7183881,5192835,4838002,4464750,4838002,15685352,12570033,15685352,28%,23%,28%,496479,69991,496479,6610886,7047525,6610886,32823554,31336180,32823554,-4502500,-4790518,-4502500,-4777801,-3388570,-4777801,-9280301,-8179088,-9280301,,,,,,,0,23543253,23157092,23543253,1900768,2476208,1900768,63797814,65111264,63797814,3144258,2266117,3144258,34240409,35529897,34240409,29557405,29581367,29557405
33,Bangladesh,Cement,Cement,Bangladesh Cement Ltd,FY2018,N,Q2,26465425,25454037,26465425,,,,26148427,26670367,26148427,52613852,52124404,52613852,6647787,5269137,6647787,3136968,4847685,3136968,9698874,9224972,9698874,2504706,2632636,2504706,21988335,21974430,21988335,30625517,30149974,30625517,58%,58%,58%,,,0,10339670,14413186,10339670,1992085,4959726,1992085,18293762,10777062,18293762,35%,21%,35%,2959778,1951451,2959778,5422519,5589006,5422519,3658752,2155412,3658752,12172269,4984095,12172269,23%,10%,23%,364072,485448,364072,6380114,6297219,6380114,27997726,19511180,27997726,-8402171,-5598483,-8402171,-4259688,-5232717,-4259688,-12661859,-10831200,-12661859,,,,,,,0,15335867,8679980,15335867,1772796,2958960,1772796,60766762,61380583,60766762,3804209,3107870,3804209,38124299,44455212,38124299,22642463,16925371,22642463
34,Bangladesh,Cement,Cement,Bangladesh Cement Ltd,FY2018,N,Q3,29735570,28199538,29735570,,,,26831669,27113301,26831669,56567239,55312839,56567239,6790516,9537238,6790516,3294803,3530736,3294803,9373760,7839204,9373760,2372807,2148083,2372807,21831886,23055261,21831886,34735353,32257578,34735353,61%,58%,61%,,,0,12819847,11811921,12819847,4837106,4520637,4837106,17078400,15925020,17078400,30%,29%,30%,1788463,2900585,1788463,7440418,6239512,7440418,3415680,3185004,3415680,8010765,9401089,8010765,14%,17%,14%,235353,461730,235353,8354754,5715810,8354754,27456970,25003145,27456970,-4902290,-8217739,-4902290,-3596777,-7828557,-3596777,-8499067,-16046296,-8499067,,,,,,,0,18957903,8956849,18957903,2378669,4406213,2378669,67300662,65434862,67300662,3069566,1644770,3069566,42558405,41032589,42558405,24742257,24402273,24742257
35,Bangladesh,Cement,Cement,Bangladesh Cement Ltd,FY2018,N,Q4,29602041,29000729,29602041,,,,28330062,29653492,28330062,57932103,58654221,57932103,7089115,6168896,7089115,1399034,1799642,1399034,5961068,8378880,5961068,2049213,2807012,2049213,16498430,19154430,16498430,41433673,39499791,41433673,72%,67%,72%,,,0,14510830,11841570,14510830,1201608,1692126,1201608,25721235,25966095,25721235,44%,44%,44%,1862273,1940886,1862273,5819852,7848022,5819852,5144247,5193219,5144247,16619409,14865740,16619409,29%,25%,29%,150538,299074,150538,6189105,6851516,6189105,33923151,35057571,33923151,-4284880,-5055980,-4284880,-7978994,-2417572,-7978994,-12263874,-7473552,-12263874,,,,,,,0,21659277,27584019,21659277,2382408,2776221,2382408,66503616,68281958,66503616,1612311,1601541,1612311,33823179,34289667,33823179,32680437,33992291,32680437
36,Bangladesh,Cement,Cement,Bangladesh Cement Ltd,FY2019,N,Q1,28812815,27525698,28812815,,,,27046790,26930319,27046790,55859605,54456017,55859605,9076978,5004838,9076978,2865205,1557912,2865205,5703803,5924069,5703803,2903619,1011908,2903619,20549605,13498727,20549605,35310000,40957290,35310000,63%,75%,63%,,,0,10294078,14933308,10294078,3467425,1419705,3467425,21548497,24604277,21548497,39%,45%,39%,2571922,2460057,2571922,5724539,6134482,5724539,4309699,4920855,4309699,14086181,16008997,14086181,25%,29%,25%,100782,86919,100782,5855893,6375384,5855893,30077094,33526637,30077094,-7347627,-9200336,-7347627,-1286366,-8797140,-1286366,-8633993,-17997476,-8633993,,,,,,,0,21443101,15529161,21443101,1673881,1798666,1673881,63389379,62630067,63389379,2313751,3839937,2313751,36624859,33691677,36624859,26764520,28938390,26764520
37,Bangladesh,Cement,Cement,Bangladesh Cement Ltd,FY2019,N,Q2,25899784,28752441,25899784,,,,28703215,27048854,28703215,54602999,55801295,54602999,5004017,7683704,5004017,4526336,2852784,4526336,5093301,5460970,5093301,2755809,2630494,2755809,17379463,18627952,17379463,37223536,37173343,37223536,68%,67%,68%,,,0,12443395,10716934,12443395,1093312,1555109,1093312,23686829,24901300,23686829,43%,45%,43%,1689661,2421771,1689661,7422722,5955725,7422722,4737366,4980260,4737366,13216402,16387086,13216402,24%,29%,24%,69908,437032,69908,9772911,5276415,9772911,35219309,33036518,35219309,-5169299,-7960295,-5169299,-1531654,-9631340,-1531654,-6700953,-17591635,-6700953,,,,,,,0,28518356,15444883,28518356,4435205,3984698,4435205,68811115,65062408,68811115,2541739,1643132,2541739,33457909,32543127,33457909,35353206,32519281,35353206
38,Bangladesh,Cement,Cement,Bangladesh Cement Ltd,FY2019,Y,Q3,26514233,28045253,26514233,,,,28306776,26800769,28306776,54821009,54846022,54821009,8879232,6111779,8879232,2313817,4307056,2313817,5444522,9062378,5444522,2798333,2991550,2798333,19435904,22472763,19435904,35385105,32373259,35385105,65%,59%,65%,,,0,13814820,14160642,13814820,2687119,4569172,2687119,18883166,13643445,18883166,34%,25%,34%,1773074,1601909,1773074,7844678,7455216,7844678,3776633,2728689,3776633,9034929,5061449,9034929,16%,9%,16%,360843,221316,360843,6454569,8206073,6454569,27471652,23672743,27471652,-3383852,-1741874,-3383852,-4361759,-4458410,-4361759,-7745611,-6200284,-7745611,,,,,,,0,19726041,17472459,19726041,2324000,1056682,2324000,63599578,64108777,63599578,2475072,2554977,2475072,38412915,43757554,38412915,25186663,20351223,25186663
39,Bangladesh,Cement,Cement,Bangladesh Cement Ltd,FY2019,N,Q4,29414497,,29414497,,,,28805430,,28805430,58219927,0,58219927,5797418,,5797418,4092676,,4092676,8882342,,8882342,2732656,,2732656,21505092,0,21505092,36714835,0,36714835,63%,,63%,,,0,12700172,,12700172,1165865,,1165865,22848798,0,22848798,39%,,39%,1902671,,1902671,5238778,,5238778,4569760,0,4569760,14942931,0,14942931,26%,,26%,375572,,375572,6621533,,6621533,31748574,0,31748574,-7953542,,-7953542,-5084433,,-5084433,-13037975,0,-13037975,,,,,,,0,18710599,0,18710599,1075037,,1075037,65916497,0,65916497,1932746,,1932746,37303875,0,37303875,28612622,0,28612622
40,India,Chemical,Carbon Black,India Carbon Black Ltd,FY2018,N,Q1,27890388,26931694,27890388,,,,29076310,26754934,29076310,56966698,53686628,56966698,5170053,8936281,5170053,3517219,1097057,3517219,5415428,9045866,5415428,1178650,1149146,1178650,15281350,20228350,15281350,41685348,33458278,41685348,73%,62%,73%,,,0,12268419,12166682,12268419,1224606,3129539,1224606,28192323,18162057,28192323,49%,34%,49%,2933629,1250939,2933629,6862047,6199270,6862047,5638465,3632411,5638465,18625440,9581315,18625440,33%,18%,33%,301444,429133,301444,7033572,5893601,7033572,38460968,25735730,38460968,-6386654,-6596081,-6386654,-5624716,-9398968,-5624716,-12011370,-15995049,-12011370,,,,,,,0,26449598,9740681,26449598,4968693,3082103,4968693,68968963,62662332,68968963,1671156,1909232,1671156,30445531,37433803,30445531,38523432,25228529,38523432
41,India,Chemical,Carbon Black,India Carbon Black Ltd,FY2018,N,Q2,28387313,29669528,28387313,,,,26097716,28589542,26097716,54485029,58259070,54485029,9786982,5890287,9786982,4711511,3210938,4711511,5408747,7241328,5408747,1082291,1664352,1082291,20989531,18006905,20989531,33495498,40252165,33495498,61%,69%,61%,,,0,12020946,12189032,12020946,3957223,1930181,3957223,17517329,26132952,17517329,32%,45%,32%,2496572,2745131,2496572,7147855,6534367,7147855,3503466,5226590,3503466,9362580,17117126,9362580,17%,29%,17%,342637,92574,342637,8248033,5472802,8248033,28604571,34443459,28604571,-9945098,-8345123,-9945098,-4689838,-6089974,-4689838,-14634936,-14435097,-14634936,,,,,,,0,13969635,20008362,13969635,4301628,1934464,4301628,67034690,65666336,67034690,2312387,2654670,2312387,39280087,34780788,39280087,27754603,30885548,27754603
42,India,Chemical,Carbon Black,India Carbon Black Ltd,FY2018,N,Q3,26276252,27526888,26276252,,,,26812681,25526987,26812681,53088933,53053875,53088933,6522886,5841536,6522886,2892447,2855641,2892447,7124161,6228851,7124161,1658242,2282910,1658242,18197736,17208938,18197736,34891197,35844937,34891197,66%,68%,66%,,,0,11843723,13663829,11843723,2036086,1717491,2036086,21011388,20463617,21011388,40%,39%,40%,1811744,1302682,1811744,7838729,7748734,7838729,4202278,4092723,4202278,10782125,9924842,10782125,20%,19%,20%,185751,50024,185751,6849143,9711509,6849143,29858026,31527832,29858026,-4735928,-8609104,-4735928,-3491498,-6893841,-3491498,-8227426,-15502945,-8227426,,,,,,,0,21630600,16024887,21630600,4750791,3533877,4750791,64688867,66299261,64688867,3767844,3930891,3767844,35845389,36521149,35845389,28843478,29778112,28843478
43,India,Chemical,Carbon Black,India Carbon Black Ltd,FY2018,N,Q4,26343635,25770963,26343635,,,,25525336,26849170,25525336,51868971,52620133,51868971,5804937,5039610,5804937,3282401,1469676,3282401,5456196,9657467,5456196,2206420,1612669,2206420,16749954,17779422,16749954,35119017,34840711,35119017,68%,66%,68%,,,0,13179362,13302901,13179362,2350702,4270070,2350702,19588953,17267740,19588953,38%,33%,38%,2005555,1063670,2005555,5616314,6234620,5616314,3917791,3453548,3917791,12060403,8643242,12060403,23%,16%,23%,181823,259278,181823,6843911,7636132,6843911,28620242,26226820,28620242,-7574976,-2438396,-7574976,-4803123,-1493243,-4803123,-12378099,-3931639,-12378099,,,,,,,0,16242143,22295181,16242143,4660210,2251270,4660210,63373092,62507535,63373092,2847598,2667229,2847598,35127616,38019622,35127616,28245476,24487913,28245476
44,India,Chemical,Carbon Black,India Carbon Black Ltd,FY2019,N,Q1,25201277,25208688,25201277,,,,28422250,25691547,28422250,53623527,50900235,53623527,7035839,6747720,7035839,4944301,1337032,4944301,6915762,8914467,6915762,1572951,1980077,1572951,20468853,18979296,20468853,33154674,31920939,33154674,62%,63%,62%,,,0,10617511,13728162,10617511,2529363,3424771,2529363,20007800,14768006,20007800,37%,29%,37%,1850269,1618523,1850269,7622371,7928364,7622371,4001560,2953601,4001560,10234138,5504564,10234138,19%,11%,19%,328640,452589,328640,8342804,6313332,8342804,30529513,23152450,30529513,-7795286,-6992476,-7795286,-6624213,-9933991,-6624213,-14419499,-16926467,-14419499,,,,,,,0,16110014,6225983,16110014,1372944,3924866,1372944,63339275,61138433,63339275,3946706,3914166,3946706,37562433,40046395,37562433,25776842,21092038,25776842
45,India,Chemical,Carbon Black,India Carbon Black Ltd,FY2019,N,Q2,25880957,25553225,25880957,,,,28167762,25856526,28167762,54048719,51409751,54048719,9728888,7801787,9728888,1346229,2001335,1346229,6557978,5104833,6557978,2070810,1056398,2070810,19703905,15964353,19703905,34344814,35445398,34344814,64%,69%,64%,,,0,13589705,13054841,13589705,4224969,1914783,4224969,16530140,20475774,16530140,31%,40%,31%,2925252,2581114,2925252,7322333,5743617,7322333,3306028,4095155,3306028,8827031,13218116,8827031,16%,26%,16%,174786,93895,174786,9005848,7138677,9005848,28636026,30289460,28636026,-6038652,-4220749,-6038652,-1515613,-8752860,-1515613,-7554265,-12973609,-7554265,,,,,,,0,21081761,17315851,21081761,2668585,4779454,2668585,65723152,63327882,65723152,1882086,2209409,1882086,39400665,33143386,39400665,26322487,30184496,26322487
46,India,Chemical,Carbon Black,India Carbon Black Ltd,FY2019,Y,Q3,29041326,29977672,29041326,,,,25547456,25930350,25547456,54588782,55908022,54588782,5401340,9306414,5401340,4806702,2766186,4806702,9778477,8573610,9778477,2408713,1885862,2408713,22395232,22532072,22395232,32193550,33375950,32193550,59%,60%,59%,,,0,10613293,12741256,10613293,1059906,4901193,1059906,20520351,15733501,20520351,38%,28%,38%,1809644,1420531,1809644,6717913,7746318,6717913,4104070,3146700,4104070,11508012,6261014,11508012,21%,11%,21%,253337,252395,253337,5644060,5410634,5644060,28227392,22817061,28227392,-1375135,-4633101,-1375135,-7576213,-1104893,-7576213,-8951348,-5737994,-8951348,,,,,,,0,19276044,17079067,19276044,2682644,2572956,2682644,62915486,63891612,62915486,3239938,1654308,3239938,37308369,41828829,37308369,25607117,22062783,25607117
47,India,Chemical,Carbon Black,India Carbon Black Ltd,FY2019,N,Q4,25830521,,25830521,,,,27103359,,27103359,52933880,0,52933880,6468504,,6468504,3459222,,3459222,6240821,,6240821,1193938,,1193938,17362485,0,17362485,35571395,0,35571395,67%,,67%,,,0,12064109,,12064109,1809137,,1809137,21698149,0,21698149,41%,,41%,1981983,,1981983,7057767,,7057767,4339630,0,4339630,12282735,0,12282735,23%,,23%,295289,,295289,6723058,,6723058,30698479,0,30698479,-8301559,,-8301559,-3856805,,-3856805,-12158364,0,-12158364,,,,,,,0,18540115,0,18540115,2926498,,2926498,62583436,0,62583436,1683220,,1683220,32918951,0,32918951,29664485,0,29664485
48,Australia,Chemical,Carbon Black,Australia Carbon Black Ltd,FY2018,N,Q1,27928359,27538797,27928359,,,,26968518,28446439,26968518,54896877,55985236,54896877,6530320,8455897,6530320,2296868,1195767,2296868,8983048,8894695,8983048,1070652,1974036,1070652,18880888,20520395,18880888,36015989,35464841,36015989,66%,63%,66%,,,0,13924577,13399103,13924577,1456388,4906020,1456388,20635024,17159718,20635024,38%,31%,38%,1728657,2689779,1728657,5363460,7908712,5363460,4127005,3431944,4127005,12873216,8508841,12873216,23%,15%,23%,484252,326744,484252,6940943,9683460,6940943,29788876,29859701,29788876,-8032504,-4881829,-8032504,-9368549,-2569442,-9368549,-17401053,-7451271,-17401053,,,,,,,0,12387823,22408430,12387823,3445438,3015645,3445438,65283258,68684341,65283258,3347504,2017067,3347504,37609357,40842585,37609357,27673901,27841756,27673901
49,Australia,Chemical,Carbon Black,Australia Carbon Black Ltd,FY2018,N,Q2,27601170,28114995,27601170,,,,29864010,25284199,29864010,57465180,53399194,57465180,6524302,8802320,6524302,3960688,4946260,3960688,6353312,8630476,6353312,1250005,2280493,1250005,18088307,24659549,18088307,39376873,28739645,39376873,69%,54%,69%,,,0,10104811,13469677,10104811,1612705,3919056,1612705,27659357,11350912,27659357,48%,21%,48%,2849280,1757566,2849280,7336701,5495290,7336701,5531871,2270182,5531871,17640065,5343006,17640065,31%,10%,31%,420261,112156,420261,8864333,8340417,8864333,39793231,21561051,39793231,-5451556,-6988989,-5451556,-3680285,-7331297,-3680285,-9131841,-14320286,-9131841,,,,,,,0,30661390,7240765,30661390,2789848,2891984,2789848,69119361,64631595,69119361,2990148,3198436,2990148,32795971,45246718,32795971,36323390,19384877,36323390
50,Australia,Chemical,Carbon Black,Australia Carbon Black Ltd,FY2018,N,Q3,29284747,28552727,29284747,,,,26610750,28465056,26610750,55895497,57017783,55895497,7572628,6359540,7572628,3202148,3839682,3202148,5789061,6535100,5789061,2417973,2179400,2417973,18981810,18913722,18981810,36913687,38104061,36913687,66%,67%,66%,,,0,11328472,10380301,11328472,4996269,3372464,4996269,20588946,24351296,20588946,37%,43%,37%,1686877,2599392,1686877,6040779,7824488,6040779,4117789,4870259,4117789,12117255,14255941,12117255,22%,25%,22%,390783,390159,390783,8830771,5377461,8830771,31497377,32718308,31497377,-6453878,-1340599,-6453878,-1253721,-4806819,-1253721,-7707599,-6147418,-7707599,,,,,,,0,23789778,26570890,23789778,2130999,1660670,2130999,66857267,64055914,66857267,3891376,3516980,3891376,39197927,36183467,39197927,27659340,27872447,27659340
51,Australia,Chemical,Carbon Black,Australia Carbon Black Ltd,FY2018,N,Q4,25791964,28280437,25791964,,,,27526480,27150848,27526480,53318444,55431285,53318444,9599862,8661662,9599862,4040040,2956898,4040040,7393424,7347815,7393424,2028512,2112353,2028512,23061838,21078728,23061838,30256606,34352557,30256606,57%,62%,57%,,,0,11869059,13875900,11869059,2833622,3110934,2833622,15553925,17365723,15553925,29%,31%,29%,1319277,2099026,1319277,7279076,6458832,7279076,3110785,3473145,3110785,6483341,9532772,6483341,12%,17%,12%,220090,160589,220090,6490763,5340191,6490763,23584055,24965529,23584055,-6599197,-7907660,-6599197,-8533099,-2866498,-8533099,-15132296,-10774158,-15132296,,,,,,,0,8451759,14191371,8451759,4870960,3840637,4870960,64680167,64612113,64680167,3857269,3569837,3857269,41621788,41635399,41621788,23058379,22976714,23058379
52,Australia,Chemical,Carbon Black,Australia Carbon Black Ltd,FY2019,N,Q1,29237382,25266411,29237382,,,,27941384,27451006,27941384,57178766,52717417,57178766,6070261,8465477,6070261,3365891,2505788,3365891,7278875,8155433,7278875,2763474,2059377,2763474,19478501,21186075,19478501,37700265,31531342,37700265,66%,60%,66%,,,0,11468370,10189488,11468370,1311584,3099323,1311584,24920311,18242531,24920311,44%,35%,44%,1914257,2114714,1914257,7638325,6955944,7638325,4984062,3648506,4984062,14212181,9752795,14212181,25%,19%,25%,339326,332698,339326,7622485,9404947,7622485,34796379,30094890,34796379,-5618069,-7585012,-5618069,-1359055,-9105371,-1359055,-6977124,-16690383,-6977124,,,,,,,0,27819255,13404507,27819255,2005491,1843333,2005491,66806742,63965697,66806742,1746979,2884009,1746979,34005434,37358895,34005434,32801308,26606802,32801308
53,Australia,Chemical,Carbon Black,Australia Carbon Black Ltd,FY2019,N,Q2,29206675,29267839,29206675,,,,25285006,26152657,25285006,54491681,55420496,54491681,5790234,7257987,5790234,2385242,4753828,2385242,6115964,7979495,6115964,1173156,2910156,1173156,15464596,22901466,15464596,39027085,32519030,39027085,72%,59%,72%,,,0,10947315,12668919,10947315,4848989,1575073,4848989,23230781,18275038,23230781,43%,33%,43%,2535131,2758552,2535131,6933814,7155036,6933814,4646156,3655008,4646156,14185942,10223546,14185942,26%,18%,26%,436753,435827,436753,8515800,9429729,8515800,34718465,30899146,34718465,-5355134,-3324953,-5355134,-1911314,-3203700,-1911314,-7266448,-6528653,-7266448,,,,,,,0,27452017,24370493,27452017,1255471,3560983,1255471,64262952,68411208,64262952,1733271,3443900,1733271,32994171,40589358,32994171,31268781,27821850,31268781
54,Australia,Chemical,Carbon Black,Australia Carbon Black Ltd,FY2019,Y,Q3,29704241,28253586,29704241,,,,25355606,25108359,25355606,55059847,53361945,55059847,7675124,8720446,7675124,3315408,4060313,3315408,7417485,8363571,7417485,1791350,2135911,1791350,20199367,23280241,20199367,34860480,30081704,34860480,63%,56%,63%,,,0,12923572,11396985,12923572,4332810,1342095,4332810,17604098,17342624,17604098,32%,32%,32%,1816606,2101960,1816606,7671557,7291851,7671557,3520820,3468525,3520820,8228327,8684208,8228327,15%,16%,15%,452966,183202,452966,5679299,6303468,5679299,25552969,25931254,25552969,-1750063,-6015833,-1750063,-5464696,-5834115,-5464696,-7214759,-11849948,-7214759,,,,,,,0,18338210,14081306,18338210,3447831,2089868,3447831,64186977,61755281,64186977,2558528,3677716,2558528,40014277,39697037,40014277,24172700,22058244,24172700
55,Australia,Chemical,Carbon Black,Australia Carbon Black Ltd,FY2019,N,Q4,25871757,,25871757,,,,25356674,,25356674,51228431,0,51228431,9071280,,9071280,4344460,,4344460,5112958,,5112958,1964790,,1964790,20493488,0,20493488,30734943,0,30734943,60%,,60%,,,0,10706289,,10706289,1502873,,1502873,18525781,0,18525781,36%,,36%,1236876,,1236876,7025317,,7025317,3705156,0,3705156,9032184,0,9032184,18%,,18%,302321,,302321,8238685,,8238685,28303663,0,28303663,-3790239,,-3790239,-4850067,,-4850067,-8640306,0,-8640306,,,,,,,0,19663357,0,19663357,1126718,,1126718,60593834,0,60593834,3862788,,3862788,36565438,0,36565438,24028396,0,24028396
56,Thailand,Chemical,Chemical,Thailand Chemical Ltd,FY2018,N,Q1,57097353,60486159,57097353,,,,28004302,29722030,28004302,85101655,90208189,85101655,16870885,19255284,16870885,12780787,18164321,12780787,8297310,7845911,8297310,1068434,1642583,1068434,39017416,46908099,39017416,46084239,43300090,46084239,54%,48%,54%,,,0,14394943,14172857,14394943,3935712,2950988,3935712,27753584,26176245,27753584,33%,29%,33%,2616515,1393762,2616515,7112497,5343627,7112497,5550717,5235249,5550717,17706885,16991131,17706885,21%,19%,21%,143456,484696,143456,8275119,9266097,8275119,38788674,37320800,38788674,-3957280,-3354527,-3957280,-9971634,-9190627,-9971634,-13928914,-12545154,-13928914,,,,,,,0,24859760,24775646,24859760,2622583,1090108,2622583,95999357,100564394,95999357,1519559,2866193,1519559,58867630,66898137,58867630,37131727,33666257,37131727
